Park Code,Park Name,Category,Order,Family,Scientific Name,Common Names,Occurrence,Nativeness,Abundance,NPS Tags
ACAD,Acadia National Park,Mammal,Artiodactyla,Cervidae,Alces alces,Moose,Present,Native,Rare,Resident
ACAD,Acadia National Park,Mammal,Artiodactyla,Cervidae,Odocoileus virginianus,"Northern White-tailed Deer, Virginia Deer, White-tailed Deer",Present,Native,Abundant,None
ACAD,Acadia National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Eastern Coyote",Present,Non-native,Common,None
ACAD,Acadia National Park,Mammal,Carnivora,Canidae,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Unconfirmed,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Present,Unknown,Common,Breeder
ACAD,Acadia National Park,Mammal,Carnivora,Felidae,Lynx canadensis,Canada Lynx,Unconfirmed,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Felidae,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Not In Park,Non-native,Unknown,Vagrant
ACAD,Acadia National Park,Mammal,Carnivora,Mephitidae,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Not In Park,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Lutra canadensis,"Otter, River Otter",Present,Native,Common,Breeder
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Martes pennanti,"Blackcat, Fisher, Pekan",Present,Native,Rare,None
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela,Weasel,Unconfirmed,Unknown,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-tailed Weasel",Present,Native,Uncommon,None
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,"Long-tailed Weasel, New York Weasel, Northern Long-tailed Weasel",Present,Native,Uncommon,None
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Unconfirmed,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela vison,"American Mink, Mink",Present,Native,Uncommon,None
ACAD,Acadia National Park,Mammal,Carnivora,Odobenidae,Odobenus rosmarus,Walrus,Unconfirmed,Non-native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Phocidae,Halichoerus grypus,Gray Seal,Unconfirmed,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Phocidae,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Unconfirmed,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,"Common Raccoon, Raccoon",Present,Native,Common,None
ACAD,Acadia National Park,Mammal,Carnivora,Ursidae,Ursus americanus,Black Bear,Present,Native,Occasional,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",Present,Native,Uncommon,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-haired Bat,Present,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Present,Native,Occasional,Migratory
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat,Present,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-eared Bat, Northern Myotis, Say's Bat",Present,Native,Common,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis leibii,"Eastern Small-footed Myotis, Small-footed Myotis",Not In Park,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Present,Native,Common,None
ACAD,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Not In Park,Non-native,Unknown,None
ACAD,Acadia National Park,Mammal,Lagomorpha,Leporidae,Lepus americanus,"Snowshoe Hare, Varying Hare",Present,Native,Common,Breeder
ACAD,Acadia National Park,Mammal,Rodentia,Castoridae,Castor canadensis,"American Beaver, Beaver, Canadian Beaver",Present,Non-native,Common,Breeder
ACAD,Acadia National Park,Mammal,Rodentia,Cricetidae,Clethrionomys gapperi,"Boreal Redback Vole, Red-backed Mouse, Red-backed Vole, Southern Red-backed Vole, White-Mountain Red-backed Mouse",Present,Native,Common,Breeder
ACAD,Acadia National Park,Mammal,Rodentia,Cricetidae,Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Not In Park,Native,Unknown,Breeder
ACAD,Acadia National Park,Mammal,Rodentia,Cricetidae,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Not In Park,Native,Unknown,None
ACAD,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus leucopus,White-footed Mouse,Present,Native,Common,Breeder
ACAD,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Present,Native,Abundant,Breeder
