park_code,Park_Name,State,Acres,Latitude,Longitude,trails,campgrounds,Weather,Direction,URL,activities
ACAD,Acadia National Park,ME,47390.0,44.35,-68.21,179.0,0.0,"Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C).","From Boston take I-95 north to Augusta, Maine, then Route 3 east to Ellsworth, and on to Mount Desert Island. For an alternate route, continue on I-95 north to Bangor, Maine, then take Route 1A east to Ellsworth. In Ellsworth, take Route 3 to Mount Desert Island.",https://www.nps.gov/acad/index.htm,17.0
ARCH,Arches National Park,UT,76519.0,38.68,-109.57,48.0,1.0,"Arches is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.","Arches National Park is located in southeast Utah, five miles north of Moab on US 191.

From Moab, Utah, drive five miles north on Main Street/US 191. Turn right at the stoplight.

From Interstate 70, take exit 182 (Crescent Junction), then drive south 28 miles on US 191. Turn left at the stoplight.",https://www.nps.gov/arch/index.htm,10.0
BADL,Badlands National Park,SD,242756.0,43.75,-102.5,10.0,2.0,The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.,"Badlands National Park is located 75 miles east of Rapid City, South Dakota.

Physical Addresses for GPS*

Park Headquarters: 25216 Ben Reifel Road, Interior, SD 57750.
Northeast Entrance (I-90, Exit 131): 21020 SD Hwy 240, Interior, SD 57750.
Pinnacles Entrance (I-90, Exit 110): 24240 Hwy 240, Wall, SD 57790.
Interior Entrance: 20640 SD Hwy 377, Interior, SD 57750.",https://www.nps.gov/badl/index.htm,10.0
BIBE,Big Bend National Park,TX,801163.0,29.25,-103.25,70.0,4.0,"Variable
-- February through April the park abounds with pleasant and comfortable temperatures.
-- May through August is hot and can also be stormy. Temperatures regularly reach well over 100 degrees in the lower elevations and along the Rio Grande.
-- September through January temperatures are cooler; the weather can quickly turn cold at any time during these months.","Several highways lead to Big Bend National Park: TX 118 from Alpine to Study Butte or FM 170 from Presidio to Study Butte (then 26 miles east to park headquarters) or US 90 or US 385 to Marathon (then 70 miles south to park headquarters). 

Distances between towns and services are considerable. Be sure you have plenty of gas, oil, food, and water for your trip.",https://www.nps.gov/bibe/index.htm,9.0
BISC,Biscayne National Park,FL,172924.0,25.65,-80.08,4.0,1.0,"The park is situated in a subtropical climate, which ensures sunshine year-round. Winters are normally dry and mild, with occasional fronts bringing wind and little rain. Summer brings hot and humid weather with scattered thunderstorms in the afternoons. The average temperature in January is 68 degrees Fahrenheit and 82 in July. The average rainfall for the area is 2.17 inches in January and 3.95 inches in July. June to November is hurricane season.",The Dante Fascell Visitor Center may be reached from the Florida Turnpike by taking Exit 6 (Speedway Boulevard). Turn left from exit ramp and continue south to SW 328th Street (North Canal Drive). Turn left on 328th Street and continue for four miles to the end of the road. The park entrance is on the left just before the entrance to Homestead Bayfront Marina.,https://www.nps.gov/bisc/index.htm,5.0
BLCA,Black Canyon of the Gunnison National Park,CO,32950.0,38.57,-107.72,24.0,3.0,"Today's Weather: http://www.weather.com/weather/today/l/NPBLCA:13:US

CLIMATE
Weather can vary greatly throughout the day. Summer daytime temperatures range between 55 to 90F (13 to 32C), nights 45 to 60F (7 to 16C). Winter daytime temperatures range between 15 to 40F (-9 to 4C), nights 10 to 20F (-12 to -6C).

Afternoon thunderstorms are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended.",7 miles north on CO Highway 347 from the intersection with U.S. Highway 50 east of Montrose,https://www.nps.gov/blca/index.htm,9.0
BRCA,Bryce Canyon National Park,UT,35835.0,37.57,-112.18,31.0,2.0,"Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August.","From the North:
Take I-15 south to UT-20 (exit 95). Travel east on UT-20 to US-89. Follow US-89 south to UT-12. Travel east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park.

From the South through Zion National Park:
Take I-15 north to UT-9 (exit 16). Follow UT-9 east through Zion National Park to US-89. Travel north on US-89 to UT-12. Go east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park.",https://www.nps.gov/brca/index.htm,9.0
CANY,Canyonlands National Park,UT,337598.0,38.2,-109.93,77.0,2.0,"Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.","Canyonlands National Park is cut into three districts by the Green and Colorado rivers. Island in the Sky district, in the north of the park, is the closest district to Moab, UT. In about 40 minutes, you can reach Island in the Sky via UT 313. The Needles district is in the southeast corner of Canyonlands. The Needles is about an hour's drive from Monticello, UT via UT 211. The Maze district, in the west of the park, is the most remote and challenging. You can reach The Maze via unpaved roads from UT 24.",https://www.nps.gov/cany/index.htm,11.0
CARE,Capitol Reef National Park,UT,241904.0,38.2,-111.17,42.0,5.0,Weather is posted daily; check at the park visitor center for weather updates. Do not enter into narrow canyons if there is a threat of rain or if rain has been falling in the area.,"From I-70: Take exit 149, then take UT-24 west toward Hanksville; continue for 43.8 miles (70.5 km). Turn right to continue on UT-24 west and continue for 37.3 miles (60 km). 

From I-15: take exit 188 then US-50 east toward Scipio. Left on UT-50; continuing 0.7 miles (1.1 km). Turn right onto US-50 east; continue for 24.4 miles (39.3 km). Turn right onto UT-260 south and continue 4.2 miles (6.8 km), then right on UT-24 for 71.3 miles. 

UT-12: North on highway 12 to Torrey, UT. Right onto UT-24.",https://www.nps.gov/care/index.htm,16.0
CAVE,Carlsbad Caverns National Park,NM,46766.0,32.17,-104.44,8.0,0.0,"Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!","To access the park's only entrance road, New Mexico Highway 7, turn north from US Hwy 62/180 at White's City, NM, which is 20 miles (32 km) southwest of Carlsbad, NM and 145 miles (233 km) northeast of El Paso, TX. The entrance road stretches a scenic seven miles (11.3 km) from the park gate at White's City to the visitor center and cavern entrance. The address for the park's visitor center is 727 Carlsbad Caverns Hwy, Carlsbad, NM, 88220, located 27 miles (43 km) from the town of Carlsbad.",https://www.nps.gov/cave/index.htm,7.0
